# 0 mm feed length
# Feed offset: 1.1258 mm

Phi[deg],Theta[deg],dB(GainTotal)
66,-164,-14.5632
68,-164,-14.8431
70,-164,-15.1189
72,-164,-15.3863
74,-164,-15.6405
76,-164,-15.8763
78,-164,-16.088
80,-164,-16.2699
82,-164,-16.4167
84,-164,-16.5235
86,-164,-16.5868
88,-164,-16.6044
90,-164,-16.5759
-90,-162,-18.0523
-88,-162,-18.0608
-86,-162,-18.0945
-84,-162,-18.1529
-82,-162,-18.2349
-80,-162,-18.339
-78,-162,-18.4627
-76,-162,-18.6027
-74,-162,-18.7545
-72,-162,-18.9123
-70,-162,-19.0688
-68,-162,-19.2153
-66,-162,-19.3412
-64,-162,-19.4353
-62,-162,-19.4857
-60,-162,-19.4816
-58,-162,-19.4142
-56,-162,-19.2785
-54,-162,-19.0735
-52,-162,-18.8032
-50,-162,-18.475
-48,-162,-18.0992
-46,-162,-17.687
-44,-162,-17.25
-42,-162,-16.7985
-40,-162,-16.3416
-38,-162,-15.8867
-36,-162,-15.4399
-34,-162,-15.0057
-32,-162,-14.5876
-30,-162,-14.1879
-28,-162,-13.8086
-26,-162,-13.4508
-24,-162,-13.1151
-22,-162,-12.8019
-20,-162,-12.5115
-18,-162,-12.2435
-16,-162,-11.9979
-14,-162,-11.7743
-12,-162,-11.572
-10,-162,-11.3907
-8,-162,-11.2296
-6,-162,-11.0881
-4,-162,-10.9655
-2,-162,-10.8609
0,-162,-10.7736
2,-162,-10.7028
4,-162,-10.6475
6,-162,-10.6071
8,-162,-10.5805
10,-162,-10.567
12,-162,-10.5658
14,-162,-10.5761
16,-162,-10.5972
18,-162,-10.6284
20,-162,-10.6692
22,-162,-10.719
24,-162,-10.7775
26,-162,-10.8443
28,-162,-10.9191
30,-162,-11.0018
32,-162,-11.0922
34,-162,-11.1902
36,-162,-11.2959
38,-162,-11.4091
40,-162,-11.5299
42,-162,-11.6579
44,-162,-11.7932
46,-162,-11.9353
48,-162,-12.0838
50,-162,-12.2383
52,-162,-12.3978
54,-162,-12.5617
56,-162,-12.7286
58,-162,-12.8974
60,-162,-13.0664
62,-162,-13.2342
64,-162,-13.3987
66,-162,-13.558
68,-162,-13.71
70,-162,-13.8527
72,-162,-13.9839
74,-162,-14.1016
76,-162,-14.2039
78,-162,-14.2893
80,-162,-14.3563
82,-162,-14.404
84,-162,-14.4316
86,-162,-14.4389
88,-162,-14.4261
90,-162,-14.3934
-90,-160,-14.7221
-88,-160,-14.7304
-86,-160,-14.7649
-84,-160,-14.8256
-82,-160,-14.9121
-80,-160,-15.024
-78,-160,-15.1606
-76,-160,-15.3209
-74,-160,-15.5035
-72,-160,-15.7065
-70,-160,-15.9274
-68,-160,-16.1625
-66,-160,-16.4073
-64,-160,-16.6558
-62,-160,-16.9002
-60,-160,-17.1312
-58,-160,-17.3378
-56,-160,-17.508
-54,-160,-17.6294
-52,-160,-17.6905
-50,-160,-17.6826
-48,-160,-17.6012
-46,-160,-17.4463
-44,-160,-17.2233
-42,-160,-16.941
-40,-160,-16.6112
-38,-160,-16.2465
-36,-160,-15.8589
-34,-160,-15.4595
-32,-160,-15.0576
-30,-160,-14.6607
-28,-160,-14.2747
-26,-160,-13.9039
-24,-160,-13.5518
-22,-160,-13.2205
-20,-160,-12.9116
-18,-160,-12.626
-16,-160,-12.3643
-14,-160,-12.1264
-12,-160,-11.9123
-10,-160,-11.7215
-8,-160,-11.5534
-6,-160,-11.4073
-4,-160,-11.2824
-2,-160,-11.1776
0,-160,-11.0918
2,-160,-11.0238
4,-160,-10.9725
6,-160,-10.9364
8,-160,-10.9143
10,-160,-10.9049
12,-160,-10.9066
14,-160,-10.9183
16,-160,-10.9386
18,-160,-10.9664
20,-160,-11.0006
22,-160,-11.0402
24,-160,-11.0844
26,-160,-11.1326
28,-160,-11.1843
30,-160,-11.239
32,-160,-11.2965
34,-160,-11.3566
36,-160,-11.4193
38,-160,-11.4843
40,-160,-11.5516
42,-160,-11.621
44,-160,-11.6922
46,-160,-11.7649
48,-160,-11.8385
50,-160,-11.9125
52,-160,-11.9861
54,-160,-12.0584
56,-160,-12.1286
58,-160,-12.1957
60,-160,-12.2587
62,-160,-12.3167
64,-160,-12.3689
66,-160,-12.4146
68,-160,-12.4531
70,-160,-12.4841
72,-160,-12.5075
74,-160,-12.5233
76,-160,-12.5314
78,-160,-12.5324
80,-160,-12.5265
82,-160,-12.5143
84,-160,-12.4963
86,-160,-12.4729
88,-160,-12.4448
90,-160,-12.4124
-90,-158,-12.5535
-88,-158,-12.5642
-86,-158,-12.5998
-84,-158,-12.6604
-82,-158,-12.7458
-80,-158,-12.8559
-78,-158,-12.9905
-76,-158,-13.1493
-74,-158,-13.332
-72,-158,-13.5378
-70,-158,-13.7658
-68,-158,-14.0147
-66,-158,-14.2827
-64,-158,-14.567
-62,-158,-14.8639
-60,-158,-15.1684
-58,-158,-15.474
-56,-158,-15.7723
-54,-158,-16.053
-52,-158,-16.3042
-50,-158,-16.5127
-48,-158,-16.6654
-46,-158,-16.7511
-44,-158,-16.7616
-42,-158,-16.6939
-40,-158,-16.5506
-38,-158,-16.3392
-36,-158,-16.0711
-34,-158,-15.7597
-32,-158,-15.4186
-30,-158,-15.0605
-28,-158,-14.6963
-26,-158,-14.3352
-24,-158,-13.9842
-22,-158,-13.6486
-20,-158,-13.3325
-18,-158,-13.0385
-16,-158,-12.7685
-14,-158,-12.5234
-12,-158,-12.3039
-10,-158,-12.11
-8,-158,-11.9411
-6,-158,-11.7968
-4,-158,-11.676
-2,-158,-11.5776
0,-158,-11.5001
2,-158,-11.4421
4,-158,-11.4017
6,-158,-11.3771
8,-158,-11.3662
10,-158,-11.367
12,-158,-11.3773
14,-158,-11.3949
16,-158,-11.4177
18,-158,-11.4439
20,-158,-11.4715
22,-158,-11.4991
24,-158,-11.5254
26,-158,-11.5493
28,-158,-11.5703
30,-158,-11.5879
32,-158,-11.602
34,-158,-11.6126
36,-158,-11.6199
38,-158,-11.6242
40,-158,-11.6258
42,-158,-11.6249
44,-158,-11.6215
46,-158,-11.6158
48,-158,-11.6075
50,-158,-11.5966
52,-158,-11.5826
54,-158,-11.5653
56,-158,-11.5444
58,-158,-11.5195
60,-158,-11.4905
62,-158,-11.4574
64,-158,-11.4203
66,-158,-11.3794
68,-158,-11.3353
70,-158,-11.2885
72,-158,-11.2398
74,-158,-11.19
76,-158,-11.1399
78,-158,-11.0904
80,-158,-11.0424
82,-158,-10.9966
84,-158,-10.9536
86,-158,-10.9141
88,-158,-10.8785
90,-158,-10.8471
-90,-156,-11.0733
-88,-156,-11.0867
-86,-156,-11.1237
-84,-156,-11.1843
-82,-156,-11.2684
-80,-156,-11.376
-78,-156,-11.5071
-76,-156,-11.6616
-74,-156,-11.8395
-72,-156,-12.0407
-70,-156,-12.2649
-68,-156,-12.5117
-66,-156,-12.7804
-64,-156,-13.0698
-62,-156,-13.3783
-60,-156,-13.7034
-58,-156,-14.0415
-56,-156,-14.3876
-54,-156,-14.7353
-52,-156,-15.0757
-50,-156,-15.3983
-48,-156,-15.6904
-46,-156,-15.938
-44,-156,-16.1271
-42,-156,-16.2456
-40,-156,-16.2851
-38,-156,-16.2429
-36,-156,-16.1222
-34,-156,-15.9319
-32,-156,-15.6848
-30,-156,-15.3956
-28,-156,-15.0789
-26,-156,-14.7483
-24,-156,-14.415
-22,-156,-14.0884
-20,-156,-13.7755
-18,-156,-13.4815
-16,-156,-13.2103
-14,-156,-12.9644
-12,-156,-12.7451
-10,-156,-12.5534
-8,-156,-12.3892
-6,-156,-12.2522
-4,-156,-12.1414
-2,-156,-12.0557
0,-156,-11.9933
2,-156,-11.9523
4,-156,-11.9303
6,-156,-11.9248
8,-156,-11.9327
10,-156,-11.9511
12,-156,-11.9766
14,-156,-12.0058
16,-156,-12.0355
18,-156,-12.0625
20,-156,-12.0841
22,-156,-12.098
24,-156,-12.1022
26,-156,-12.0958
28,-156,-12.0781
30,-156,-12.0491
32,-156,-12.0094
34,-156,-11.96
36,-156,-11.9019
38,-156,-11.8363
40,-156,-11.7646
42,-156,-11.6876
44,-156,-11.6064
46,-156,-11.5215
48,-156,-11.4336
50,-156,-11.3428
52,-156,-11.2495
54,-156,-11.1537
56,-156,-11.0557
58,-156,-10.9558
60,-156,-10.8542
62,-156,-10.7514
64,-156,-10.6483
66,-156,-10.5454
68,-156,-10.4438
70,-156,-10.3444
72,-156,-10.2483
74,-156,-10.1564
76,-156,-10.0699
78,-156,-9.98958
80,-156,-9.91629
82,-156,-9.85074
84,-156,-9.7935
86,-156,-9.74499
88,-156,-9.7055
90,-156,-9.67519
-90,-154,-10.0674
-88,-154,-10.0834
-86,-154,-10.1219
-84,-154,-10.1826
-82,-154,-10.2657
-80,-154,-10.371
-78,-154,-10.4986
-76,-154,-10.6486
-74,-154,-10.8212
-72,-154,-11.0164
-70,-154,-11.2343
-68,-154,-11.4749
-66,-154,-11.7381
-64,-154,-12.0235
-62,-154,-12.3305
-60,-154,-12.6579
-58,-154,-13.0039
-56,-154,-13.3657
-54,-154,-13.7391
-52,-154,-14.1187
